epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.845,1.23781,2.49773,1.42496,0.67583,0.45327,0.684,0.46859,0.88055,3.23933,1.19967,0.000462724,0.000462724,0.000462724
2,407.07,1.26742,2.04078,1.44674,0.5506,0.52828,0.54358,0.24461,2.09993,3.43729,2.42405,0.000932859,0.000932859,0.000932859
3,607.451,1.37556,2.11306,1.54908,0.67323,0.40943,0.55895,0.33986,1.31393,2.9083,1.77272,0.00139671,0.00139671,0.00139671
4,807.246,1.38629,1.96797,1.52098,0.87204,0.27938,0.58338,0.3439,1.26387,2.72069,1.43725,0.00140071,0.00140071,0.00140071
5,1006.69,1.38931,1.88668,1.52865,0.73877,0.53756,0.63762,0.34282,1.32599,2.57061,1.59708,0.00139127,0.00139127,0.00139127
6,1205.12,1.38596,1.81559,1.51423,0.84815,0.64034,0.72345,0.39959,1.47101,2.22552,1.81022,0.00138184,0.00138184,0.00138184
7,1403.92,1.36324,1.72784,1.48124,0.8951,0.59836,0.7122,0.44405,1.18177,2.23033,1.46828,0.00137241,0.00137241,0.00137241
8,1603.05,1.35661,1.65122,1.47787,0.51538,0.53038,0.55664,0.32485,1.72259,2.73615,2.0961,0.00136298,0.00136298,0.00136298
9,1801.4,1.30869,1.62468,1.46723,0.73389,0.57051,0.688,0.43914,1.40883,2.10807,1.65118,0.00135355,0.00135355,0.00135355
10,1999.87,1.28124,1.60928,1.45427,0.73351,0.69059,0.72367,0.49499,1.14005,1.99194,1.43133,0.00134412,0.00134412,0.00134412
11,2198.37,1.30598,1.55121,1.44509,0.84294,0.75234,0.87847,0.58995,1.10439,2.09436,1.24064,0.00133469,0.00133469,0.00133469
12,2397.41,1.27668,1.48734,1.43252,0.94655,0.67946,0.76741,0.51685,1.16215,1.69933,1.3501,0.00132525,0.00132525,0.00132525
13,2595.59,1.29522,1.49407,1.44274,0.79321,0.54037,0.63716,0.39354,1.48665,1.94225,1.65734,0.00131582,0.00131582,0.00131582
14,2794,1.2699,1.38645,1.39866,0.77925,0.79657,0.81727,0.53849,1.21334,1.63392,1.30284,0.00130639,0.00130639,0.00130639
15,2992.94,1.20164,1.37655,1.36773,0.86599,0.74074,0.84114,0.62004,1.06856,1.31802,1.33969,0.00129696,0.00129696,0.00129696
16,3191.77,1.20003,1.33233,1.3842,0.75487,0.87494,0.93879,0.71548,0.97267,1.39073,1.19551,0.00128753,0.00128753,0.00128753
17,3390.75,1.22257,1.36027,1.38032,0.89882,0.76371,0.8605,0.62898,1.03062,1.29556,1.25347,0.0012781,0.0012781,0.0012781
18,3589.77,1.18036,1.29553,1.33365,0.71873,0.6963,0.73996,0.57982,0.90516,1.33012,1.13754,0.00126867,0.00126867,0.00126867
19,3788.85,1.19104,1.22685,1.35418,0.73272,0.82774,0.86808,0.69252,0.92136,1.19162,1.14463,0.00125923,0.00125923,0.00125923
20,3987.47,1.17751,1.22229,1.33619,0.89306,0.68519,0.78597,0.52961,1.1925,1.51212,1.35636,0.0012498,0.0012498,0.0012498
21,4186.12,1.11372,1.18834,1.31786,0.80188,0.82195,0.82001,0.61052,1.03635,1.18355,1.22789,0.00124037,0.00124037,0.00124037
22,4384.7,1.14909,1.24193,1.33866,0.78158,0.72719,0.80364,0.64222,0.95603,1.12818,1.28178,0.00123094,0.00123094,0.00123094
23,4583.74,1.10115,1.1114,1.30927,0.86026,0.82593,0.82411,0.61441,1.01704,1.13874,1.22591,0.00122151,0.00122151,0.00122151
24,4782.17,1.14996,1.17216,1.3275,0.84888,0.75989,0.77954,0.57159,1.09942,1.57393,1.30055,0.00121208,0.00121208,0.00121208
25,4980.64,1.10147,1.11961,1.30901,0.83941,0.77192,0.79828,0.61944,0.9218,1.41422,1.13946,0.00120265,0.00120265,0.00120265
26,5179.34,1.12405,1.12159,1.31601,0.96065,0.83736,0.89618,0.6619,0.8906,0.98569,1.13653,0.00119322,0.00119322,0.00119322
27,5377.91,1.08545,1.074,1.28719,0.89968,0.82593,0.88572,0.69039,0.95998,0.88734,1.23809,0.00118378,0.00118378,0.00118378
28,5576.66,1.09065,1.11829,1.28731,0.93521,0.84379,0.93581,0.69528,0.84479,0.94768,1.11593,0.00117435,0.00117435,0.00117435
29,5774.57,1.07468,1.04421,1.27454,0.84433,0.79017,0.88794,0.68088,0.92537,0.97737,1.1606,0.00116492,0.00116492,0.00116492
30,5973.59,1.07003,1.04228,1.27216,0.75904,0.87237,0.88365,0.73005,0.82546,0.86719,1.12777,0.00115549,0.00115549,0.00115549
31,6172.68,1.05182,1.01744,1.2641,0.85924,0.81852,0.82867,0.65885,0.84116,1.0375,1.10755,0.00114606,0.00114606,0.00114606
32,6371.45,1.02516,1.00565,1.25522,0.93788,0.82593,0.86523,0.72921,0.82059,1.09985,1.11624,0.00113663,0.00113663,0.00113663
33,6570.46,0.99868,0.96648,1.24044,0.87002,0.89259,0.91855,0.69329,0.9921,0.78493,1.24054,0.0011272,0.0011272,0.0011272
34,6769.39,1.01028,0.96048,1.21834,0.88459,0.74515,0.89555,0.70324,0.92158,1.17088,1.14516,0.00111776,0.00111776,0.00111776
35,6968.29,1.03716,0.97549,1.26945,0.98161,0.7425,0.90688,0.68359,1.03306,0.84876,1.25059,0.00110833,0.00110833,0.00110833
36,7166.99,1.02908,0.96708,1.25438,0.78444,0.74765,0.7718,0.60608,0.8348,1.08244,1.12505,0.0010989,0.0010989,0.0010989
37,7365.99,1.01106,0.95479,1.23659,0.72535,0.79259,0.80639,0.62943,0.83376,1.02313,1.11273,0.00108947,0.00108947,0.00108947
38,7565.54,1.01812,0.97584,1.2516,0.91271,0.77688,0.86674,0.7397,0.78045,0.92968,1.09755,0.00108004,0.00108004,0.00108004
39,7765.28,0.9967,0.96831,1.22827,0.83631,0.80265,0.89909,0.74575,0.9133,0.73466,1.20568,0.00107061,0.00107061,0.00107061
40,7964.36,1.00804,0.9349,1.2352,0.79928,0.74815,0.75546,0.59189,0.94958,1.298,1.22544,0.00106118,0.00106118,0.00106118
41,8162.79,1.00103,0.94417,1.23792,0.92818,0.83193,0.91761,0.75528,0.82733,0.73848,1.11712,0.00105174,0.00105174,0.00105174
42,8361.52,1.00255,0.9487,1.24262,0.94176,0.8037,0.94106,0.76055,0.78771,0.80198,1.02979,0.00104231,0.00104231,0.00104231
43,8560.15,0.99122,0.90516,1.22273,0.8378,0.83727,0.86676,0.71042,0.84089,0.98678,1.09488,0.00103288,0.00103288,0.00103288
44,8759.18,0.95651,0.88675,1.20598,0.82096,0.82995,0.8764,0.72289,0.7829,0.81737,1.08381,0.00102345,0.00102345,0.00102345
45,8958.97,0.97552,0.8756,1.2181,0.91525,0.68984,0.84874,0.71866,0.74824,0.92357,1.03235,0.00101402,0.00101402,0.00101402
46,9158.8,0.96179,0.84987,1.20239,0.87278,0.88168,0.83761,0.73765,0.73364,0.88017,1.07913,0.00100459,0.00100459,0.00100459
47,9359.23,0.91397,0.82307,1.18561,0.92173,0.84064,0.88982,0.71442,0.90828,0.79214,1.21226,0.000995156,0.000995156,0.000995156
48,9559.56,0.96549,0.88665,1.21369,0.92884,0.75556,0.88161,0.69654,0.88859,0.94983,1.17562,0.000985724,0.000985724,0.000985724
49,9760.92,0.95091,0.8441,1.21302,0.86717,0.75241,0.833,0.68273,0.74324,0.8246,1.04968,0.000976293,0.000976293,0.000976293
