epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.5266,1.38977,2.86634,1.48352,0.01091,1,0.43334,0.33505,0.74615,3.4345,1.02108,0.00020006,0.00020006,0.00020006
2,172.579,1.21586,2.02467,1.36994,0.00569,1,0.58935,0.42347,0.93861,3.19774,1.21496,0.000410307,0.000410307,0.000410307
3,260.405,1.23912,1.85398,1.3317,0.81635,0.55952,0.83655,0.59332,0.90617,2.65272,1.17698,0.000616311,0.000616311,0.000616311
4,348.404,1.29666,1.86579,1.42407,0.50311,0.60718,0.73256,0.43528,1.29152,2.95189,1.39409,0.00081807,0.00081807,0.00081807
5,436.643,1.23907,1.86337,1.39894,0.72875,0.34524,0.39939,0.22372,1.41539,2.87872,1.57299,0.00101558,0.00101558,0.00101558
6,524.486,1.24686,1.71921,1.40086,0.83499,0.45006,0.52326,0.27912,1.53788,2.84428,1.72393,0.00120886,0.00120886,0.00120886
7,612.332,1.23548,1.67778,1.38531,0.70602,0.46521,0.6765,0.42922,1.49186,3.03972,1.62997,0.00134412,0.00134412,0.00134412
8,700.468,1.28881,1.66616,1.38103,0.45216,0.42813,0.54803,0.25638,1.55579,2.94624,1.71166,0.00132997,0.00132997,0.00132997
9,789.221,1.18322,1.62365,1.34108,0.59528,0.28467,0.41095,0.29277,1.25401,2.94632,1.47058,0.00131582,0.00131582,0.00131582
10,878.162,1.26052,1.65083,1.39016,0.71345,0.48964,0.5695,0.33626,1.64658,3.11255,1.77388,0.00130168,0.00130168,0.00130168
11,967.055,1.23945,1.55103,1.34869,0.72167,0.29762,0.47214,0.30992,1.71729,3.59293,2.3122,0.00128753,0.00128753,0.00128753
12,1055.27,1.21732,1.51563,1.37366,0.87686,0.82604,0.94886,0.5721,1.24293,1.80359,1.32857,0.00127338,0.00127338,0.00127338
13,1143.83,1.21949,1.50793,1.33238,0.83877,0.76718,0.89889,0.54825,1.18431,2.08415,1.44683,0.00125923,0.00125923,0.00125923
14,1231.78,1.13245,1.42263,1.2863,0.83537,0.65688,0.83316,0.4514,1.41858,1.93066,1.51417,0.00124509,0.00124509,0.00124509
